"id","name","party","state","vote.3117","vote.3118","vote.3121","vote.3122","vote.3124","vote.3132","vote.3134","vote.3137","vote.3147","vote.3149","vote.3226","vote.3228","vote.3233","vote.3234","vote.3238","vote.3250","vote.3253","vote.3257","vote.3259","vote.3261","vote.3263","vote.3266","vote.3272","vote.3278","vote.3282","vote.3284","vote.3285","vote.3292","vote.3304","vote.3305","vote.3307","vote.3312","vote.3314","vote.3318","vote.3319","vote.3320","vote.3321","vote.3323","vote.3326","vote.3328","vote.3329","vote.3330","vote.3335","vote.3336","vote.3337","vote.3338","vote.3341","vote.3345","vote.3346","vote.3347","vote.3348","vote.3350","vote.3353","vote.3356","vote.3359","vote.3361","vote.3362","vote.3364","vote.3365","vote.3366","vote.3374","vote.3381","vote.3386","vote.3391","vote.3392","vote.3393","vote.3395","vote.3396","vote.3397","vote.3401","vote.3406","vote.3407","vote.3408","vote.3411","vote.3414","vote.3422","vote.3424","vote.3425","vote.3426","vote.3427","vote.3434","vote.3435","vote.3436","vote.3437","vote.3443","vote.3446","vote.3448","vote.3451","vote.3454","vote.3458","vote.3459","vote.3460","vote.3462","vote.3463","vote.3464","vote.3474","vote.3475","vote.3477","vote.3478","vote.3479","vote.3480","vote.3481","vote.3483","vote.3485","vote.3488","vote.3489","vote.3490","vote.3495","vote.3498","vote.3502","vote.3503","vote.3504","vote.3505","vote.3508","vote.3509","vote.3510"
408,"ALBERTO FRAGA","DEM","DF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,1,2,2,2,4,5,2,5,5,4,5,5,4,2,4,5,5,5,5
111,"ALBERTO SILVA","PMDB","PI",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,4,4,4,2,1,4,4,4,4,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
442,"ALCENI GUERRA","DEM","PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,1,5,2,5,5,4,2,1,1,5,5,2,1,4,4,1,4,4,5,5,5,5,5,5,4,5,5,5,5,2,2,2,2,1,4,2,4,5,4,2,5,5,5,5,5,5,2,4,4,5,5,5
331,"ALDO REBELO","PCdoB","SP",1,4,1,1,1,4,2,1,1,1,1,1,2,4,4,1,1,1,1,2,4,1,2,1,1,4,1,4,1,1,2,1,2,1,1,1,1,4,4,4,1,2,1,4,4,4,2,4,2,1,4,1,2,2,2,1,4,4,4,4,4,1,4,4,2,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,1,1,2,2,4,4,4,4,4,2,2,2,2,1,1,4,1,1,2,2,2,4,1,1,2,2,1,5,2,2,1,1,4,4,4,4
558,"ALESSANDRO SABINO","PMDB","AP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,1,4,4,4,2,4,4,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
445,"ALEX CANZIANI","PTB","PR",1,4,4,1,1,4,2,1,1,1,1,4,4,4,4,4,4,2,2,1,4,2,2,1,4,4,1,4,1,1,4,1,4,1,4,1,1,4,2,1,4,4,4,2,4,4,4,4,2,1,4,1,2,2,4,1,4,1,2,4,4,1,4,1,2,4,4,4,4,2,2,1,1,4,4,1,1,1,1,1,1,1,4,2,4,4,2,2,4,4,4,2,4,1,4,4,4,1,4,4,2,4,1,1,4,4,4,5,2,2,1,4,1,2,5,4
285,"ALEXANDRE SANTOS","PMDB","RJ",1,2,4,1,4,4,4,4,4,1,1,1,4,4,4,4,4,1,1,4,4,4,4,1,1,4,1,1,4,1,2,1,2,4,1,1,4,2,2,1,1,4,1,2,5,2,4,4,2,1,1,1,4,4,4,1,2,1,2,4,4,4,2,1,4,4,4,4,4,4,1,2,1,4,4,4,1,4,4,1,4,4,2,2,2,2,5,5,4,4,2,4,4,1,1,1,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
225,"ALEXANDRE SILVEIRA","PPS","MG",1,2,1,4,4,4,4,4,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,1,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,2,1,4,4,4,4,1,1,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4
451,"ALFREDO KAEFER","PSDB","PR",2,4,4,2,4,1,1,2,2,2,2,2,5,4,4,4,4,4,4,4,2,1,1,4,2,4,4,4,3,1,4,4,4,1,1,1,1,4,4,4,4,4,4,4,4,5,4,1,4,2,4,2,4,4,4,2,4,4,1,4,5,4,5,5,4,2,4,1,4,1,2,1,4,4,4,4,4,4,4,4,1,1,5,4,4,4,4,4,4,4,4,4,4,2,4,2,2,1,4,2,2,4,4,4,4,4,4,4,4,4,4,3,4,4,5,4
180,"ALICE PORTUGAL","PCdoB","BA",1,2,1,1,2,2,2,1,1,1,1,1,2,1,4,2,1,1,1,2,1,1,2,1,1,5,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,4,1,1,1,4,4,2,1,2,1,2,4,2,1,2,4,2,4,1,2,2,2,1,2,4,4,1,1,1,1,1,1,1,1,2,2,4,2,2,2,1,2,2,2,2,1,4,1,1,1,2,2,2,4,4,4,2,2,1,5,2,2,1,1,1,2,2,4
330,"ALINE CORREA","PP","SP",1,2,4,4,4,2,4,1,1,4,4,4,2,4,5,1,4,4,4,2,4,1,2,4,1,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,1,2,1,2,4,4,2,4,4,1,4,4,4,4,2,1,4,4,4,5,4,4,4,4,2,2,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,1,4,2,4,4,1,1,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4
140,"ANA ARRAES","PSB","PE",1,2,1,1,1,2,2,1,1,1,1,4,2,1,4,2,4,2,2,2,4,4,2,1,2,5,4,4,1,1,2,1,2,1,1,1,1,4,4,4,4,4,4,4,5,2,2,2,2,1,1,1,4,2,4,4,4,4,4,4,4,1,1,1,2,4,1,2,2,2,1,1,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,4,2,4,1,1,2,2,1,4,2,2,1,1,1,2,2,4
142,"ANDRE DE PAULA","DEM","PE",2,5,4,2,5,1,1,2,4,2,4,2,4,2,4,1,4,2,2,1,2,2,2,2,2,4,2,1,2,1,4,4,4,1,1,1,1,4,5,4,5,4,4,4,4,5,1,1,5,2,5,2,4,4,4,2,5,4,4,2,4,4,5,5,4,4,4,4,4,4,2,1,1,5,4,5,1,4,1,1,1,1,4,5,5,5,5,4,4,5,4,5,4,4,2,4,2,1,2,2,2,4,5,2,4,4,4,4,5,5,2,5,4,5,4,5
452,"ANDRE VARGAS","PT","PR",1,2,1,1,4,4,4,4,4,4,4,4,2,1,4,2,1,1,4,4,4,4,4,4,4,4,1,1,4,1,2,1,2,1,1,1,1,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,4,1,4,4,4,4,2,4,1,2,1,4,4,4,1,1,1,1,4,4,4,4,2,2,2,2,1,2,2,4,2,1,1,1,1,1,2,4,4,4,2,1,2,2,1,3,4,4,4,4,4,4,4,4
565,"ANDRE ZACHAROW","PMDB","PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,1,4,4,1,4,2,2,4,2,2,1,2,1,5,4,4,4,1,4,2,2,4
283,"ANDREIA ZITO","PSDB","RJ",2,5,5,2,4,1,1,2,2,2,2,2,5,2,4,1,2,2,2,2,2,2,1,2,2,4,2,1,4,4,5,4,4,1,1,1,1,4,4,4,4,4,4,4,1,5,5,1,5,2,5,2,5,4,5,4,4,4,4,4,5,4,4,4,5,2,2,1,2,1,2,1,4,1,2,2,1,1,1,1,1,1,5,5,4,4,4,5,4,4,4,5,4,4,2,2,2,1,2,2,2,4,4,1,4,4,5,1,4,4,1,4,4,4,4,4
471,"ANGELA AMIN","PP","SC",4,2,4,1,2,2,1,2,1,1,1,1,2,1,2,2,1,2,2,2,2,1,2,1,2,2,1,1,3,1,4,3,2,1,1,1,1,4,4,4,4,4,4,4,4,2,2,2,2,1,2,2,2,2,2,1,2,1,1,3,2,1,2,1,2,2,1,2,2,2,2,1,1,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,4,4,2,2,3,3,3,4,1,2,2,4,3,2,1,2,2,1,2,2,2,1,1,1,1,2,4
1,"ANGELA PORTELA","PT","RR",1,2,1,1,4,2,2,1,1,1,1,1,2,4,5,2,1,1,2,4,4,4,2,1,1,2,1,1,4,4,4,4,4,4,4,4,4,2,2,1,1,2,1,2,4,2,2,2,2,1,4,4,2,2,2,1,2,1,2,4,2,1,2,1,2,2,1,2,2,2,1,2,1,2,4,1,1,1,1,1,1,4,2,2,2,2,2,2,1,2,2,2,2,1,4,1,4,1,4,2,2,4,1,1,2,2,1,5,2,2,1,1,4,2,4,4
453,"ANGELO VANHONI","PT","PR",1,2,1,1,2,2,2,1,1,1,4,4,4,1,4,2,1,1,1,2,1,1,2,4,1,4,1,1,1,1,4,1,2,1,1,1,1,2,2,1,1,4,4,4,4,4,2,4,2,1,4,1,2,4,2,1,4,1,2,4,2,1,4,4,2,2,1,4,4,2,1,2,1,4,4,4,4,1,1,1,1,1,4,4,2,2,2,2,4,2,2,2,4,1,1,4,4,1,2,2,2,4,1,1,2,2,1,5,2,4,1,4,4,4,4,4
87,"ANIBAL GOMES","PMDB","CE",4,2,4,1,2,2,2,4,1,4,1,4,2,1,4,2,4,1,4,4,1,1,2,1,1,5,2,4,1,4,2,4,2,1,4,4,4,2,4,1,4,4,4,2,4,2,4,4,2,1,4,1,2,4,2,1,4,1,2,4,2,4,4,4,2,4,1,2,4,4,4,1,4,4,1,1,4,4,4,1,1,4,1,2,4,2,2,4,4,4,4,2,4,4,1,4,1,1,2,2,4,4,4,1,4,2,1,4,2,4,1,1,1,2,2,4
47,"ANSELMO DE JESUS","PT","RO",1,2,1,1,2,2,2,1,1,1,1,1,2,1,5,2,1,1,1,2,1,1,2,1,1,2,2,1,1,1,2,1,2,1,4,1,1,2,2,1,1,2,1,2,4,2,2,2,2,1,1,1,2,2,2,1,2,1,2,4,2,1,4,1,4,2,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,2,4,2,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,2,4,1,1,2,2,1,5,2,2,1,1,4,2,2,5
227,"ANTONIO ANDRADE","PMDB","MG",1,2,1,1,4,2,2,1,1,1,1,1,2,4,4,4,4,2,1,4,1,1,2,4,1,4,1,1,1,1,2,1,4,1,1,1,1,2,4,1,1,2,4,2,4,2,4,2,4,1,1,1,2,2,2,1,2,1,2,4,2,4,2,1,2,2,1,2,2,4,4,4,4,4,1,1,1,4,1,1,4,4,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,4,2,2,4,5,4,4,2,2,1,5,2,2,1,1,1,2,2,5
333,"ANTONIO BULHOES","PMDB","SP",1,2,4,1,5,2,2,1,1,1,1,1,2,1,4,2,1,1,1,2,1,1,2,1,1,4,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1,2,4,2,2,2,2,1,1,1,2,2,2,1,4,1,2,4,2,4,2,1,2,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2,2,4,2,2,2,1,2,4,2,2,1,1,1,1,1,2,2,2,4,1,1,2,2,4,2,2,2,1,4,4,2,2,4
432,"ANTONIO CARLOS BIFFI","PT","MS",1,2,1,1,4,2,2,1,1,1,1,1,2,1,4,2,1,1,1,2,1,1,2,1,1,4,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1,2,4,2,2,4,2,1,1,1,2,2,4,1,2,1,2,4,4,4,2,4,2,2,4,2,2,2,1,2,4,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,4,4,2,2,1,1,1,1,1,2,2,4,2,1,1,4,2,1,2,2,2,1,1,1,2,2,4
548,"ANTONIO CARLOS BISCAIA","PT","RJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,5,2,1,1,1,2,1,1,2,1,1,4,1,1,1,2,2,1,2,1,4,4,4,2,2,1,1,2,1,2,2,2,2,2,2,1,1,1,4,2,2,1,2,1,2,4,2,1,2,1,2,2,1,2,2,2,4,2,1,4,4,4,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,2,5,1,1,2,2,1,2,2,2,1,1,1,2,2,2
181,"ANTONIO CARLOS MAGALHAES NETO","DEM","BA",2,4,5,2,5,1,1,2,2,2,2,4,5,4,4,1,2,2,2,1,2,2,2,2,2,1,2,1,4,1,5,5,5,1,1,1,1,5,4,5,5,5,5,5,1,5,1,1,5,2,5,2,5,4,5,2,5,5,1,2,5,2,5,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,1,5,5,5,4,5,4,4,5,4,5,5,2,2,2,2,4,2,4,4,4,4,4,4,4,4,4,5,5,2,4,5,4,5,5
332,"ANTONIO CARLOS MENDES THAME","PSDB","SP",2,5,4,2,4,1,1,2,2,2,4,2,4,4,4,1,2,2,2,4,2,1,4,4,4,4,2,1,4,1,4,4,4,4,4,4,4,4,4,5,4,5,5,4,4,4,4,1,5,2,2,2,5,4,5,4,4,5,1,2,5,5,4,5,5,4,2,1,2,4,2,1,4,1,2,2,1,1,1,4,4,1,5,5,4,4,5,4,5,5,4,4,4,2,2,4,4,1,2,2,4,4,4,4,4,4,4,4,5,5,1,4,4,5,5,4
334,"ANTONIO CARLOS PANNUNZIO","PSDB","SP",2,5,5,2,4,1,4,2,2,2,2,2,5,4,4,2,2,2,2,4,2,1,1,2,2,4,2,1,1,1,5,5,5,1,1,1,1,5,4,4,4,4,4,4,1,5,5,4,5,2,5,2,5,5,5,2,5,5,1,4,4,5,5,4,4,5,2,4,4,1,2,1,1,1,2,4,1,4,4,4,1,4,4,4,5,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,2,1,4,4,4,4,4,4,2,4,4,5,5,4
434,"ANTONIO CRUZ","PP","MS",1,2,1,4,4,2,2,4,1,1,1,1,2,1,4,1,1,1,1,4,4,4,4,1,1,4,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,2,5,2,2,1,2,3,1,2,4,2,2,1,2,1,2,4,4,1,2,1,2,2,4,2,2,4,2,1,1,2,1,1,1,1,1,1,1,1,2,2,4,4,4,4,4,2,2,2,2,1,4,1,4,1,2,2,2,4,1,1,2,2,1,5,2,2,1,1,1,1,2,4
335,"ANTONIO PALOCCI","PT","SP",1,4,4,4,4,4,4,4,4,4,1,1,2,4,5,2,1,1,2,4,4,3,2,1,1,4,4,4,1,4,2,4,2,4,4,1,1,4,2,1,1,2,1,2,2,4,2,2,2,1,4,1,2,4,4,1,2,1,4,5,2,4,4,1,2,2,4,2,2,4,1,2,1,4,4,4,4,1,1,1,4,4,4,4,2,4,4,4,4,2,2,4,2,1,1,1,1,1,2,2,4,4,1,4,2,2,4,4,2,2,1,1,4,2,4,4
229,"ANTONIO ROBERTO","PV","MG",1,2,1,1,1,2,2,1,1,1,1,1,2,1,5,4,4,4,4,2,1,2,2,1,2,4,2,1,1,1,2,1,2,1,1,1,1,4,4,4,5,4,4,4,4,2,2,1,2,2,2,2,2,2,4,4,4,4,4,4,2,1,2,4,2,2,1,2,2,2,1,2,1,4,4,4,4,4,4,4,1,1,2,2,4,4,4,4,4,4,4,4,4,4,1,1,4,1,2,2,2,4,1,1,2,2,1,4,2,2,1,4,4,4,4,4
223,"ARACELY DE PAULA","PR","MG",1,2,1,1,4,2,2,1,1,1,1,1,2,1,4,4,1,1,3,2,1,1,2,4,1,4,1,1,1,1,2,1,2,1,4,4,1,2,2,1,4,2,1,2,3,2,2,2,2,1,4,1,2,2,2,1,2,1,2,4,2,1,2,4,4,2,1,2,4,2,2,2,4,2,4,4,1,1,1,4,4,1,2,2,4,2,2,2,1,2,2,2,4,1,1,1,1,1,2,2,2,4,1,1,4,2,1,5,2,2,1,4,1,2,2,5
92,"ARIOSTO HOLANDA","PSB","CE",1,2,1,1,1,2,2,1,1,1,1,1,2,1,4,2,1,1,1,2,1,1,2,1,1,4,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1,2,4,2,4,2,2,1,1,1,2,2,2,1,2,1,2,5,2,1,2,1,2,4,4,4,4,4,4,4,4,2,1,1,1,1,1,1,4,4,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,2,5,1,2,2,2,1,2,2,2,1,1,1,2,2,4
336,"ARLINDO CHINAGLIA","PT","SP",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129,"ARMANDO ABILIO","PTB","PB",1,2,5,1,4,2,2,1,1,1,1,1,4,1,4,2,1,1,1,2,1,1,2,1,1,4,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1,2,4,2,2,2,2,1,1,1,2,2,2,1,2,1,2,4,2,1,2,1,2,4,1,2,2,2,1,2,1,2,1,4,1,1,1,1,1,1,2,2,2,2,2,2,4,2,2,2,2,1,1,1,1,1,4,2,4,4,1,1,2,2,1,5,2,2,1,1,4,2,2,4
144,"ARMANDO MONTEIRO","PTB","PE",5,4,5,1,1,4,4,1,4,1,4,4,4,1,4,4,1,4,2,1,1,2,2,4,4,4,4,3,1,4,4,4,2,1,1,1,1,4,4,4,4,4,4,4,4,2,4,4,4,2,2,2,4,2,2,4,2,4,2,2,4,4,4,1,2,4,1,2,2,2,4,1,1,4,1,4,4,4,4,4,4,1,4,2,4,4,2,2,4,4,2,2,2,1,1,1,4,1,2,2,2,4,4,4,4,4,1,4,2,2,1,4,4,2,2,2
337,"ARNALDO FARIA DE SA","PTB","SP",1,5,5,1,4,2,2,2,2,2,1,2,2,1,4,1,1,2,2,1,1,2,1,1,2,5,1,1,1,1,2,1,2,4,4,4,4,2,2,2,2,1,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,4,2,2,2,1,2,2,2,2,2,2,4,2,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,4,2,2,2,1,4,4,4,4,4,4,4,1,1,2,2,1,1,2,2,1,1,4,4,4,4
