"id","name","party","state","vote.1850","vote.1851","vote.1852","vote.1855","vote.1856","vote.1857","vote.1858","vote.1859","vote.1860","vote.1861","vote.1862","vote.1863","vote.1864","vote.1865","vote.1866","vote.1867","vote.1869","vote.1870","vote.1871","vote.1872","vote.1874","vote.1875","vote.1876","vote.1877","vote.1880","vote.1882","vote.1883","vote.1884","vote.1885","vote.1886","vote.1887","vote.1888","vote.1899","vote.1900","vote.1901","vote.1902","vote.1903","vote.1904","vote.1905.x","vote.1905.y","vote.1906","vote.1908","vote.1909","vote.1910","vote.1911","vote.1912","vote.1915","vote.1916","vote.1917","vote.1919","vote.1920","vote.1921","vote.1922","vote.1923","vote.1924","vote.1925","vote.1926","vote.1927","vote.1928","vote.1929","vote.1930","vote.1931","vote.1932","vote.1933","vote.1934","vote.1936","vote.1937","vote.1938","vote.1939","vote.1940","vote.1941","vote.1942","vote.1943","vote.1944","vote.1946","vote.1947","vote.1948","vote.1950","vote.1951","vote.1952","vote.1953","vote.1954","vote.1956","vote.1957","vote.1958","vote.1959","vote.1960","vote.1961","vote.1962","vote.1963","vote.1964","vote.1965","vote.1966","vote.1967","vote.1969","vote.1970","vote.1971","vote.1972","vote.1973","vote.1974","vote.1975","vote.1976","vote.1977","vote.1978","vote.1979","vote.1980","vote.1981","vote.1983","vote.1984","vote.1985","vote.1986","vote.1987","vote.1988","vote.1989","vote.1990","vote.1991","vote.1992","vote.1993","vote.1994","vote.1996","vote.1997","vote.1999","vote.2000","vote.2001","vote.2002","vote.2003","vote.2004","vote.2005","vote.2006","vote.2007","vote.2008","vote.2009","vote.2010","vote.2011","vote.2012","vote.2014","vote.2015","vote.2017","vote.2018","vote.2019","vote.2020","vote.2021","vote.2022","vote.2023","vote.2024"
330,"ALBERTO GOLDMAN","PSDB","SP",1,2,1,1,2,1,1,1,4,2,5,2,2,4,1,4,5,1,1,1,4,1,2,1,1,5,4,4,4,4,4,1,5,1,1,1,4,1,5,5,5,1,2,5,1,2,4,4,2,1,1,1,4,1,2,4,4,1,1,1,1,1,1,5,5,5,4,5,4,1,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,4,4,2,2,2,2,1,1,4,4,4,4,4,4,1,4,4,1,2,2,2,1,5,1,1,4,1,2,5,2,1,4,1,2,1,1,1,2,4,4,2,5,5,2,1,1,4,5,5,4,4,4,4,4,4
1,"ALCESTE ALMEIDA","PMDB","RR",1,2,1,2,2,1,4,1,2,1,2,1,2,1,1,1,4,1,2,4,2,4,1,1,2,2,2,4,4,4,4,1,2,1,4,4,4,1,2,2,2,2,2,2,1,1,4,2,2,1,1,1,5,2,1,4,1,2,4,1,3,1,1,2,2,4,2,1,4,1,4,2,1,5,1,2,4,2,1,2,1,1,1,4,4,4,4,4,2,4,4,2,1,1,1,1,2,4,4,2,4,2,2,2,2,4,4,2,1,1,1,4,2,4,4,4,4,4,4,4,2,1,1,1,1,4,4,2,4,2,1,2,4,1,1,4,1,2,4,2,2,2,1,2,1
487,"ALCEU COLLARES","PDT","RS",4,2,3,2,1,4,4,1,2,1,2,1,1,1,2,1,2,1,2,4,2,2,1,4,4,2,4,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,4,1,2,2,1,4,1,2,4,2,2,1,1,1,2,1,4,2,2,2,1,4,2,4,1,4,1,2,2,4,1,2,4,4,2,2,1,2,1,2,2,4,1,1,4,2,1,2,4,4,2,2,4,4,2,2,2,2,2,4,1,2,2,2,2,2,1,1,4,1,1,4,4,4,1,1,1,1,1,1,2,2,2,1,2,1,2,1,1,1,4,4,4,2,4,4,2,4
331,"ALDO REBELO","PCdoB","SP",1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,2,1,2,4,2,2,4,1,2,2,2,1,1,4,1,1,2,4,4,1,4,4,4,4,2,2,1,2,1,1,1,2,2,1,1,2,4,2,1,2,1,2,2,1,1,1,1,4,2,2,2,1,2,1,4,2,1,4,1,2,2,4,1,2,1,4,1,2,1,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,4,2,2,2,2,4,2,4,1,1,1,1,4,2,2,1,4,1,1,4,2,1,1,1,1,1,1,2,2,2,1,2,1,1,1,4,1,2,2,2,2,2,1,2,1
445,"ALEX CANZIANI","PTB","PR",1,4,1,2,1,2,1,1,4,1,5,4,1,1,1,1,2,4,4,4,4,2,4,1,4,4,4,1,4,4,2,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,1,1,1,4,2,1,2,4,2,4,1,3,1,1,2,2,4,2,4,4,1,4,4,4,3,1,2,4,2,1,4,1,4,1,2,4,1,2,1,4,2,4,4,1,1,2,1,2,2,2,2,4,2,4,2,4,4,4,2,1,1,1,4,4,4,4,4,4,1,1,4,2,4,4,1,1,1,2,2,2,2,1,4,1,2,1,4,1,4,4,4,2,4,2,4,1
284,"ALEXANDRE CARDOSO","PSB","RJ",1,2,1,2,1,2,1,1,4,4,4,1,1,4,1,1,4,1,2,4,4,2,1,1,2,4,2,4,4,4,1,1,2,1,4,4,1,1,2,2,4,4,1,2,1,1,1,2,2,1,3,1,4,4,4,2,1,2,2,1,1,1,1,2,2,2,2,4,2,1,4,2,1,5,1,2,2,2,1,4,1,1,1,2,1,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,1,1,1,4,2,4,2,1,1,1,1,4,2,1,1,4,1,4,4,2,4,2,1,4,1,1,4,1,1,4,2,2,4,4,4,4,4
285,"ALEXANDRE SANTOS","PP","RJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,2,2,1,1,4,4,2,4,2,2,2,4,4,4,4,4,2,2,2,4,4,2,1,4,2,1,4,1,2,2,2,1,2,1,4,1,4,4,4,4,4,2,4,2,2,1,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4,1,1,4,4,2,4,4,4,4,4,4,4,4,1,1,4,4,1,4,4,2,1,4,4,1,4,1,1,2,2,2,2,2,1,2,4
285,"ALEXANDRE SANTOS","PSDB","RJ",1,4,1,1,4,4,4,1,4,4,4,1,1,4,4,1,4,1,2,4,4,4,3,3,4,3,4,1,1,3,4,1,2,4,1,1,4,1,4,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,"ALICE PORTUGAL","PCdoB","BA",1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,4,1,2,4,2,2,1,1,2,2,2,1,1,2,1,1,2,1,1,4,1,1,4,4,2,4,2,2,2,1,1,2,2,1,2,1,4,2,1,2,1,2,2,1,1,1,1,2,2,2,2,1,4,2,4,2,1,5,1,2,2,2,1,2,1,1,1,2,1,2,2,1,4,2,2,2,1,1,1,1,2,4,2,2,2,2,2,2,4,4,4,4,4,4,4,1,2,2,2,4,4,4,4,4,2,4,4,4,4,1,2,4,4,4,4,2,4,1,1,1,1,2,2,2,2,2,1,2,1
89,"ALMEIDA DE JESUS","PL","CE",1,2,1,2,4,2,1,1,2,1,2,1,4,4,1,1,4,1,2,4,2,2,1,1,4,4,4,4,4,4,1,1,2,1,4,1,1,1,2,2,2,2,2,2,1,1,4,2,2,1,1,1,4,2,1,2,1,2,2,1,1,1,1,2,2,2,2,1,2,1,4,4,4,4,1,2,2,2,1,4,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,1,2,3,4,2,4,4,4,1,1,2,4,4,4,4,2,1,1,1,1,1,4,4,4,4,4,4,4,4
286,"ALMERINDA DE CARVALHO","PMDB","RJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,4,4,4,2,1,4,1,2,2,2,1,2,1,4,1,2,1,2,2,1,2,2,2,2,1,1,1,1,4,2,2,2,2,2,2,2,2,1,4,2,1,1,1,1,2,4,2,1,1,1,1,2,2,1,4,1,4,1,4,2,2,2,4,2,4,1,1,1,1,2,2,2,2,2,1,2,1
286,"ALMERINDA DE CARVALHO","PSB","RJ",1,2,1,2,1,2,1,1,2,1,2,3,2,4,4,1,2,1,2,4,2,2,1,1,2,2,2,1,1,2,2,1,2,1,1,1,1,1,2,2,4,4,1,2,1,1,4,2,2,1,2,1,5,4,4,2,1,2,2,1,1,1,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,"ALMIR MOURA","PL","RJ",1,2,1,2,1,2,4,1,2,1,5,1,1,1,1,1,2,1,2,5,5,2,1,1,4,2,2,4,4,4,2,1,2,1,1,4,1,1,2,2,4,2,1,2,1,1,1,2,2,1,1,1,4,2,1,2,1,2,2,1,1,1,1,2,2,2,2,1,2,1,4,2,1,5,1,2,4,2,1,2,1,1,1,2,1,2,2,1,2,2,4,2,1,1,1,1,2,2,4,2,4,2,2,2,2,1,4,2,4,1,1,4,2,4,2,1,1,2,1,2,2,1,4,1,4,1,1,2,2,4,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1
553,"ALMIR SA","PL","RR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,1,1,4,4,4,4,4,4,4,1,2,1,1,1,2,4,1,1,1,4,4,1,4,4,2,2,3,3,1,1,2,2,2,2,4,4,1,4,2,1,3,1,4,2,2,1,4,1,1,1,2,1,2,2,1,4,2,4,2,1,1,1,1,2,4,4,2,2,2,2,2,4,1,4,2,1,1,1,1,2,4,2,1,1,2,1,2,4,4,1,1,4,1,2,4,2,2,1,2,4,1,1,1,1,2,4,2,2,2,1,2,1
333,"ALOYSIO NUNES FERREIRA","PSDB","SP",1,2,1,1,2,1,1,1,1,2,5,5,2,5,1,1,4,1,1,4,5,1,2,1,1,4,4,4,4,4,1,1,4,2,1,4,1,1,5,5,4,5,2,5,1,2,4,2,2,1,1,1,4,5,2,5,2,1,1,1,1,1,1,5,5,5,5,4,2,1,4,5,4,2,2,2,2,1,2,2,1,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,1,4,1,1,1,1,1,1,4,2,1,1,2,2,2,1,4,4,1,1,1,2,5,4,4,2,4,2,5,1,1,2,4,4,5,4,4,2,1,1,1,5,4,4,4,4,4,4,4
119,"ALVARO DIAS","PDT","RN",1,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,2,4,4,4,1,4,4,4,4,4,1,1,4,4,4,4,1,1,2,2,2,4,1,2,2,1,4,2,4,4,1,2,4,1,1,2,1,4,4,2,2,4,2,2,4,4,4,2,1,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,2,2,1,2,1,1,4,1,1,2,2,1,2,2,4,4,4,4,1,4,4,4,4,4,4,4,1,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,2,2,2,4,4,4,4
329,"AMAURI GASQUES","PRONA","SP",NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
329,"AMAURI ROBLEDO GASQUES","PL","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,2,1
329,"AMAURI ROBLEDO GASQUES","PRONA","SP",1,2,2,1,1,2,NA,NA,1,1,5,1,2,2,2,1,4,2,1,4,1,2,1,1,1,5,1,1,1,2,1,1,4,4,4,4,4,4,4,4,4,4,2,5,2,4,2,4,1,2,2,1,4,5,5,5,2,4,1,1,1,2,1,5,1,4,5,4,1,2,4,5,4,2,4,1,1,1,2,4,4,2,2,1,2,4,4,2,5,1,5,1,2,2,2,2,1,1,1,1,1,1,1,1,4,4,5,1,2,2,2,1,5,5,1,1,4,4,5,4,4,2,4,4,4,4,4,4,5,5,2,4,4,4,4,4,4,2,1,5,NA,NA,NA,NA,NA
142,"ANDRE DE PAULA","PFL","PE",1,2,1,1,2,1,1,2,5,2,5,2,2,4,1,1,1,1,1,5,4,2,2,4,1,4,1,1,1,2,1,1,5,2,1,1,1,1,2,2,2,1,2,4,2,2,4,1,1,1,2,1,4,1,4,1,2,4,1,1,1,2,1,1,5,1,4,4,1,2,4,1,4,2,4,1,4,1,2,4,2,5,2,5,4,4,4,4,4,4,4,4,2,2,2,2,1,1,1,1,1,1,1,1,5,5,4,4,2,2,2,1,5,1,1,1,2,1,5,2,4,4,1,4,1,4,4,2,5,1,2,1,2,2,1,1,1,5,5,5,4,4,4,4,4
287,"ANDRE LUIZ","PMDB","RJ",1,2,1,2,2,4,1,4,2,1,2,1,2,2,1,1,2,1,4,4,2,4,1,1,1,2,2,4,1,2,2,1,2,1,1,1,4,1,4,4,5,2,1,2,1,1,1,2,2,1,1,1,4,2,1,2,1,2,2,1,1,1,1,4,2,2,4,1,2,1,4,2,1,5,1,4,2,2,1,2,1,1,1,2,1,4,2,1,2,4,2,2,1,1,1,1,2,4,4,2,2,2,4,2,4,1,2,2,1,1,1,1,2,4,4,4,1,4,1,2,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,1,2,1
442,"ANDRE ZACHAROW","PDT","PR",4,2,3,2,1,2,1,1,2,1,2,1,1,1,1,1,2,4,4,4,4,2,1,1,2,4,2,1,1,2,1,1,2,1,1,1,1,1,2,2,2,4,1,2,1,1,1,2,2,1,2,1,5,2,1,2,1,2,2,4,1,1,1,2,4,2,2,1,2,1,4,2,1,2,1,2,4,2,1,2,1,1,1,2,1,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,4,1,2,2,1,1,1,1,4,4,4,4,4,4,4,2,2,1,4,1,1,1,2,4,2,2,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1
340,"ANGELA GUADAGNIN","PT","SP",1,2,1,2,4,4,4,1,2,1,2,1,1,1,1,1,4,1,2,4,4,2,4,1,2,2,2,1,1,2,1,1,4,1,4,1,1,1,2,2,4,2,1,4,1,1,1,2,2,1,1,1,4,2,1,2,1,2,2,1,1,1,1,2,2,2,4,4,4,1,4,4,1,5,1,2,2,2,1,2,1,1,1,2,1,2,2,1,2,2,2,2,1,1,1,1,2,4,4,4,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,1,1,1,4,2,2,1,4,1,4,1,1,2,2,2,1,4,1,1,1,1,1,4,4,2,2,2,1,2,1
87,"ANIBAL GOMES","PMDB","CE",1,2,1,2,1,2,4,1,2,4,2,1,1,1,4,1,4,4,4,3,4,2,1,1,4,2,2,1,4,4,1,1,4,1,4,4,1,4,4,4,2,2,1,2,1,1,4,2,2,1,1,1,4,4,1,4,1,4,2,1,1,1,4,4,2,2,2,1,2,1,4,2,1,5,1,2,4,2,1,2,1,4,1,4,1,2,2,4,2,2,4,2,1,1,1,1,2,4,2,2,4,2,2,4,2,1,2,2,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,4,1,4,4,4,1,4,4,2,2,2,1,4,4
19,"ANIVALDO VALE","PSDB","PA",1,2,1,4,2,1,1,1,4,1,5,2,2,4,4,1,4,1,1,4,1,4,2,1,1,4,1,1,1,2,1,1,5,1,1,4,1,1,4,4,4,1,2,4,2,2,4,1,2,1,2,4,4,4,2,5,2,1,1,2,4,2,1,5,5,4,5,4,4,2,4,4,4,2,1,2,2,2,2,2,2,1,2,2,1,4,4,4,4,1,4,4,2,2,4,4,4,1,1,1,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,1,4,4,4,5,1,4,4,2,4,1,1,4,1,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4
